OBJECTID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
21,1037,Maitikka-aukio,Kovallplatsen,Maitikka-aukio,Kallioruohonpolku 3,Berggrässtigen 3,Vantaa,Vantaa,City Bike Vantaa,20,25.023289236635,60.3056514649386
22,1039,Kydönaukio,Kyttlandsplatsen,Kydönaukio,Kydönkatu 4,Kyttlandsgatan 4,Vantaa,Vantaa,City Bike Vantaa,20,25.0633814360748,60.3201329471866
23,1041,Koivutori,Björktorget,Koivutori,Hakopolku 4,Granrisstigen 4,Vantaa,Vantaa,City Bike Vantaa,20,25.0618091497629,60.3236277648183
24,1043,Sauvatie,Stavvägen,Sauvatie,Sauvatie 1,Stavvägen 1,Vantaa,Vantaa,City Bike Vantaa,20,25.0729534440866,60.3206875248172
25,1045,Koivukylän asema,Björkby station,Koivukylä station,Koivukylän puistotie 5,Björkbyallén 5,Vantaa,Vantaa,City Bike Vantaa,20,25.0598835139115,60.3232722125574
26,1047,Leinelän asema,Lejle station,Leinelä station,Koivukylänväylä 54,Björkbyleden 54,Vantaa,Vantaa,City Bike Vantaa,20,25.0375223597074,60.3232031867404
27,1049,Rekolan asema,Räckhals station,Rekola station,Ulrikankuja 5,Ulrikagränden 5,Vantaa,Vantaa,City Bike Vantaa,20,25.0674363653081,60.3330045539798
28,1051,Sairaalakatu,Sjukhusgatan,Sairaalakatu,Sairaalakatu 5,Sjukhusgatan 5,Vantaa,Vantaa,City Bike Vantaa,10,25.061259758759,60.3317268233119
29,1053,Teletie,Televägen,Teletie,Teletie 6,Televägen 6,Vantaa,Vantaa,City Bike Vantaa,20,24.9681386681152,60.3133865702425
30,1055,Karhumäenportti,Karhumäkiporten,Karhumäenportti,Aviabulevardi 9,Aviabulevarden 9,Vantaa,Vantaa,City Bike Vantaa,20,24.9588307752575,60.3054332674126
31,1057,Avia-aukio,Aviaplatsen,Avia-aukio,Aviabulevardi 2,Aviabulevarden 2,Vantaa,Vantaa,City Bike Vantaa,20,24.9547822051466,60.3025499725516
32,1059,Teknobulevardi,Teknobulevarden,Teknobulevardi,Teknobulevardi 5,Teknobulevarden 5,Vantaa,Vantaa,City Bike Vantaa,10,24.9659588949607,60.3046698311406
33,1061,Robert Huberin tie,Robert Hubers väg,Robert Huberin tie,Robert Huberin tie 4,Robert Hubers väg 4,Vantaa,Vantaa,City Bike Vantaa,20,24.9627965585174,60.2959171467246
